id,is_tv_subscriber,is_movie_package_subscriber,subscription_age,bill_avg,reamining_contract,service_failure_count,download_avg,upload_avg,download_over_limit,churn
822409,0,0,0.98,18,0.0,0,19.1,1.2,0,1
1506890,1,0,1.0,9,1.22,0,8.6,0.7,0,1
608799,1,0,5.22,22,,0,8.6,1.0,3,1
528872,1,0,1.97,23,0.0,0,5.0,0.6,0,1
1499514,1,1,0.73,15,1.25,0,174.0,34.4,0,0
408467,1,1,6.86,0,,0,0.0,0.0,0,1
922792,1,1,3.28,17,1.73,0,74.9,4.6,0,0
617814,0,0,0.5,20,0.0,0,0.0,0.0,0,1
1487772,1,1,0.77,16,1.45,0,102.4,42.3,0,0
1492243,1,0,0.75,14,1.22,0,76.1,4.4,0,0
1253147,1,0,1.75,13,0.17,0,59.4,9.0,0,0
744060,1,0,4.49,21,0.26,0,63.0,2.4,0,0
561598,1,1,2.74,32,,0,86.4,10.7,0,1
953055,1,0,1.53,22,0.0,0,99.1,10.0,0,1
718653,1,0,4.86,53,,0,42.6,2.7,0,1
1227136,1,0,1.88,14,0.09,0,116.1,8.6,0,0
1183581,1,0,2.07,14,1.86,0,63.9,2.6,0,0
394036,0,0,1.3,21,0.0,0,0.0,0.0,0,1
284807,1,0,2.51,18,,0,8.7,0.5,0,1
122715,1,1,7.84,16,1.79,0,16.3,0.8,0,0
342085,1,0,6.59,21,0.25,0,89.7,5.0,0,0
1264303,1,1,1.03,12,0.0,0,30.3,1.5,0,1
1097189,1,0,2.5,58,,0,107.0,8.6,0,0
370591,1,0,0.6,29,0.0,0,0.0,0.0,0,1
861074,1,1,3.75,26,1.9,0,64.7,6.0,0,0
1510064,1,1,0.69,15,1.28,0,63.3,4.5,0,0
236669,1,1,7.03,8,1.93,2,99.3,12.6,0,0
539015,1,1,5.64,18,0.0,1,264.3,10.7,0,1
1422575,1,1,1.0,24,0.98,0,46.9,4.3,0,0
1522721,1,1,0.64,15,1.33,0,90.5,5.7,0,0
612418,1,0,5.41,21,0.16,0,13.2,0.7,0,0
115412,1,1,2.02,23,,0,0.0,0.0,0,1
971025,1,0,0.27,11,0.0,0,15.9,0.7,0,1
42777,1,0,8.86,12,0.99,0,16.1,1.6,0,0
566870,1,0,5.78,21,0.12,0,32.8,1.1,0,0
797908,1,0,3.84,22,0.0,0,112.0,4.6,0,1
868848,1,1,2.06,19,0.0,2,58.6,16.0,0,1
686028,1,0,2.07,19,0.0,0,5.1,0.2,0,1
543298,1,0,5.88,22,0.01,0,28.0,1.5,0,0
1259803,1,1,1.94,28,0.03,0,130.3,6.8,0,1
601949,0,0,1.91,11,0.0,0,16.2,2.5,0,1
1611409,1,0,0.22,15,1.75,0,32.7,2.2,0,0
657399,1,1,5.12,12,0.36,0,59.9,3.6,0,0
1406386,1,0,1.04,14,0.93,0,34.3,1.7,0,0
